"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 00:35:16 GMT 2024","Mon Mar 25 00:35:17 GMT 2024","584","Platform Admin","Users","Get Users","","","Get Users - No authorization",""
"passed","Mon Mar 25 00:35:41 GMT 2024","Mon Mar 25 00:35:43 GMT 2024","1679","Platform Admin","Users","Resend User Invite","","","Resend User Invite - Pending and Valid",""
"passed","Mon Mar 25 00:37:37 GMT 2024","Mon Mar 25 00:37:38 GMT 2024","744","Platform Admin","Keys","Fetch Key Logs","","","Fetch Key Logs - No Auth",""
"passed","Mon Mar 25 00:38:34 GMT 2024","Mon Mar 25 00:38:35 GMT 2024","702","Platform Admin","Transactions","Fetch Transaction Stats","","","Fetch Transaction Stats - No Token",""
"passed","Mon Mar 25 00:36:32 GMT 2024","Mon Mar 25 00:36:34 GMT 2024","2773","Platform Admin","Banks","Account Lookup","","","Account Lookup",""
"passed","Mon Mar 25 00:34:55 GMT 2024","Mon Mar 25 00:34:56 GMT 2024","1186","Platform Admin","Users","Fetch User (Me)","","","Fetch User (Me)",""
"failed","Mon Mar 25 00:36:55 GMT 2024","Mon Mar 25 00:36:56 GMT 2024","1106","Platform Admin","Keys","Create Key","","","Create Key - Greater than 6 digits Token",""
"passed","Mon Mar 25 00:36:29 GMT 2024","Mon Mar 25 00:36:30 GMT 2024","326","Platform Admin","Banks","Fetch Banks","","","Fetch Banks - Expired Token",""
"failed","Mon Mar 25 00:37:36 GMT 2024","Mon Mar 25 00:37:36 GMT 2024","325","Platform Admin","Keys","Delete Key","","","Delete Key - Expired Token",""
"passed","Mon Mar 25 00:37:31 GMT 2024","Mon Mar 25 00:37:32 GMT 2024","1258","Platform Admin","Keys","Delete Key","","","Delete Key",""
"passed","Mon Mar 25 00:37:10 GMT 2024","Mon Mar 25 00:37:15 GMT 2024","5183","Platform Admin","Keys","Reset Key","","","Reset Key",""
"passed","Mon Mar 25 00:37:36 GMT 2024","Mon Mar 25 00:37:37 GMT 2024","1114","Platform Admin","Keys","Fetch Key Logs","","","Fetch Key Logs",""
"passed","Mon Mar 25 00:37:33 GMT 2024","Mon Mar 25 00:37:34 GMT 2024","936","Platform Admin","Keys","Delete Key","","","Delete Key - Invalid Key_Id",""
"passed","Mon Mar 25 00:36:30 GMT 2024","Mon Mar 25 00:36:31 GMT 2024","936","Platform Admin","Banks","Fetch Bank","","","Fetch Bank",""
"passed","Mon Mar 25 00:35:48 GMT 2024","Mon Mar 25 00:35:49 GMT 2024","330","Platform Admin","Users","Reset Password","","","Reset Password",""
"passed","Mon Mar 25 00:37:38 GMT 2024","Mon Mar 25 00:37:39 GMT 2024","717","Platform Admin","Keys","Fetch Key Logs","","","Fetch Key Logs - Invalid Auth",""
"passed","Mon Mar 25 00:34:37 GMT 2024","Mon Mar 25 00:34:38 GMT 2024","1494","Platform Admin","Auth","Login","","","Valid Login wihout 2FA",""
"passed","Mon Mar 25 00:36:21 GMT 2024","Mon Mar 25 00:36:22 GMT 2024","936","Platform Admin","Beneficiaries","Fetch Beneficiary","","","Fetch Beneficiary - Non-existing  Beneficiary ID",""
"passed","Mon Mar 25 00:34:38 GMT 2024","Mon Mar 25 00:34:39 GMT 2024","345","Platform Admin","Auth","Login 2FA","","","Login (2FA) - Valid",""
"failed","Mon Mar 25 00:36:51 GMT 2024","Mon Mar 25 00:36:52 GMT 2024","1107","Platform Admin","Keys","Create Key","","","Create Key - Invalid Token",""
"passed","Mon Mar 25 00:37:25 GMT 2024","Mon Mar 25 00:37:26 GMT 2024","1130","Platform Admin","Keys","Activate/Deactivate Key","","","Activate/Deactivate Key - Deactivate",""
"passed","Mon Mar 25 00:35:23 GMT 2024","Mon Mar 25 00:35:25 GMT 2024","1464","Platform Admin","Users","Update User > Update user role","","","Update user role - Valid",""
"passed","Mon Mar 25 00:35:48 GMT 2024","Mon Mar 25 00:35:48 GMT 2024","336","Platform Admin","Users","Password Reset","","","Password Reset - Empty Email Field",""
"passed","Mon Mar 25 00:37:34 GMT 2024","Mon Mar 25 00:37:35 GMT 2024","942","Platform Admin","Keys","Delete Key","","","Delete Key - Empty Key_ID field",""
"passed","Mon Mar 25 00:37:52 GMT 2024","Mon Mar 25 00:37:53 GMT 2024","848","Platform Admin","Subscriptions","Create Subscription","","","Create Subscription - No start date",""
"passed","Mon Mar 25 00:37:59 GMT 2024","Mon Mar 25 00:38:00 GMT 2024","859","Platform Admin","Subscriptions","Create Subscription","","","Create Subscription - negative amount",""
"passed","Mon Mar 25 00:38:42 GMT 2024","Mon Mar 25 00:38:42 GMT 2024","717","Platform Admin","Settings","Fetch Settings","","","Fetch Settings - No Authorization",""
"passed","Mon Mar 25 00:37:51 GMT 2024","Mon Mar 25 00:37:52 GMT 2024","851","Platform Admin","Subscriptions","Create Subscription","","","Create Subscription - No email",""
"passed","Mon Mar 25 00:34:36 GMT 2024","Mon Mar 25 00:34:36 GMT 2024","330","Platform Admin","Auth","Login","","","Login - Empty Email Field",""
"passed","Mon Mar 25 00:35:06 GMT 2024","Mon Mar 25 00:35:07 GMT 2024","1295","Platform Admin","Users","Update User (Me)","","","Update User (Me) -Update only Last Name",""
"passed","Mon Mar 25 00:35:54 GMT 2024","Mon Mar 25 00:35:55 GMT 2024","321","Platform Admin","Beneficiaries","Create Beneficiary","","","Create Beneficiary - Expired Token",""
"passed","Mon Mar 25 00:34:44 GMT 2024","Mon Mar 25 00:34:45 GMT 2024","759","Platform Admin","Roles","Fetch Roles with ID","","","Fetch Roles - No Authorization",""
"passed","Mon Mar 25 00:34:50 GMT 2024","Mon Mar 25 00:34:51 GMT 2024","1675","Platform Admin","Roles","Create Role","","","Create Role",""
"passed","Mon Mar 25 00:37:28 GMT 2024","Mon Mar 25 00:37:28 GMT 2024","934","Platform Admin","Keys","Activate/Deactivate Key","","","Activate/Deactivate Key - Invalid Key_id",""
"passed","Mon Mar 25 00:36:18 GMT 2024","Mon Mar 25 00:36:18 GMT 2024","322","Platform Admin","Beneficiaries","Fetch Beneficiaries","","","Fetch Beneficiaries - No Token",""
"passed","Mon Mar 25 00:34:32 GMT 2024","Mon Mar 25 00:34:34 GMT 2024","2268","Platform Admin","Auth","Login","","","Valid Login with 2FA",""
"passed","Mon Mar 25 00:37:02 GMT 2024","Mon Mar 25 00:37:04 GMT 2024","1492","Platform Admin","Keys","Update Key","","","Update Key",""
"passed","Mon Mar 25 00:37:56 GMT 2024","Mon Mar 25 00:37:57 GMT 2024","849","Platform Admin","Subscriptions","Create Subscription","","","Create Subscription - End date greater than start date",""
"passed","Mon Mar 25 00:34:40 GMT 2024","Mon Mar 25 00:34:40 GMT 2024","326","Platform Admin","Auth","Login 2FA","","","Login (2FA) - Empty Token",""
"passed","Mon Mar 25 00:35:36 GMT 2024","Mon Mar 25 00:35:37 GMT 2024","852","Platform Admin","Users","Change User Password","","","Change User Password- Current = New Password",""
"failed","Mon Mar 25 00:36:45 GMT 2024","Mon Mar 25 00:36:51 GMT 2024","6029","Platform Admin","Keys","Create Key","","","Create Key - Empty Token Field",""
"passed","Mon Mar 25 00:34:36 GMT 2024","Mon Mar 25 00:34:37 GMT 2024","333","Platform Admin","Auth","Login","","","Login - Invalid Email Field",""
"passed","Mon Mar 25 00:36:19 GMT 2024","Mon Mar 25 00:36:21 GMT 2024","1249","Platform Admin","Beneficiaries","Fetch Beneficiary","","","Fetch Beneficiary - Invalid Beneficiary ID",""
"passed","Mon Mar 25 00:34:48 GMT 2024","Mon Mar 25 00:34:49 GMT 2024","326","Platform Admin","Roles","Fetch Role Stats","","","Fetch Role Stats - Expired Tken",""
